10:30:58  [main] 	Initializing Control Panel
10:30:58  [main] 	Windows Version:  Home  64-bit
10:30:58  [main] 	XAMPP Version: 7.4.11
10:30:58  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
10:30:58  [main] 	You are not running with administrator rights! This will work for
10:30:58  [main] 	most application stuff but whenever you do something with services
10:30:58  [main] 	there will be a security dialogue or things will break! So think 
10:30:58  [main] 	about running this application with administrator rights!
10:30:58  [main] 	XAMPP Installation Directory: "c:\xampp\"
10:30:58  [main] 	Checking for prerequisites
10:30:59  [main] 	All prerequisites found
10:30:59  [main] 	Initializing Modules
10:30:59  [main] 	Starting Check-Timer
10:30:59  [main] 	Control Panel Ready
10:31:04  [Apache] 	Attempting to start Apache app...
10:31:04  [Apache] 	Status change detected: running
10:31:05  [mysql] 	Attempting to start MySQL app...
10:31:05  [mysql] 	Status change detected: running
12:10:41  [Apache] 	Attempting to stop Apache (PID: 16532)
12:10:41  [Apache] 	Attempting to stop Apache (PID: 15592)
12:10:42  [Apache] 	Status change detected: stopped
12:10:43  [mysql] 	Attempting to stop MySQL app...
12:10:43  [mysql] 	Status change detected: stopped
12:10:57  [main] 	Deinitializing Modules
12:10:57  [main] 	Deinitializing Control Panel

